"Form","Official form name","Question for the practitioner","REVIEW — Answer","REVIEW — Comments"
"MG1","File Front Sheet (legacy — no longer part of the MG suite)","THE HEADLINE ISSUE: MG1 is not in the current MG suite. It is absent from the Home Office list of MG forms 'still in use' (June 2026), absent from the CPS National File Standard (DG6, 2020), and absent from the entire 2011 Prosecution Team Manual of Guidance (zero hits for 'MG1' or 'front sheet' across 131 pages). A practitioner must confirm whether the product should carry MG1 at all, or drop it in favour of DCF case-file metadata.","",""
"MG1","File Front Sheet (legacy — no longer part of the MG suite)","No specimen or completion guidance for MG1 was located in any source, official or otherwise. Its box layout, box numbering and mandatory boxes are unknown. Every content field above rests on a single unverified secondary snippet.","",""
"MG1","File Front Sheet (legacy — no longer part of the MG suite)","Whether any force or non-police prosecuting agency still uses an MG1-style front sheet locally. A training provider published an 'MG1 (NPA)' variant (non-police agencies) as recently as 2019, but the file is not archived and could not be retrieved — a disclosure officer in a non-police agency (HSE, local authority, DVSA) could say whether such a front sheet is still in circulation.","",""
"MG1","File Front Sheet (legacy — no longer part of the MG suite)","When and why MG1 was withdrawn, and what (if anything) formally replaced its file-indexing function — a supervisor's file-build certification now sits on the MG3/MG6 rather than a front sheet.","",""
"MG1","File Front Sheet (legacy — no longer part of the MG suite)","Whether the repo's current MG1 fields belong on MG1 at all: 'anticipated plea' and 'trial time estimate' are MG5/DG6 case-management data, 'charges' belong on MG4/MG5, and 'officer in the case' appears across MG5/MG6/MG9. A practitioner should confirm the right home for each before this template is presented to a client as an MG1.","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","THE REPO'S MG2 IS THE WRONG FORM. The current template calls MG2 'Initial Description of Taped Interview' with tape references and an interview summary. That is MG15 (Interview Record) content. MG2 has never been an interview form; it is the special measures assessment. The whole field set must be replaced, and any existing MG2 drafts will need migrating rather than version-bumping.","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Which boxes a given CPS Area treats as mandatory in practice. CPS guidance only requires prosecutors to 'check it has been fully completed' — it does not define that, and nothing on the form itself is marked mandatory. A disclosure officer or CPS paralegal should settle the required flags proposed above.","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Whether the force's live MG2 is still the 2010/11 version. Both the MoG specimen and the template still in circulation carry 'RESTRICTED (when complete)', a protective marking abolished in the 2014 move to the Government Security Classifications — so a locally re-issued OFFICIAL-SENSITIVE version may exist with different boxes.","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Whether the current form adds boxes the 2010/11 version lacks: s.28 pre-recorded cross-examination; automatic eligibility for modern slavery (s.17(4)), domestic abuse (s.17(4A)) and Schedule 1A violent offences (s.17(4B)); interpreter or language needs; a Registered Intermediary assessment reference; or a Witness Care Unit contact.","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Whether the force records the assessment on an MG2 at all, or inside a special measures screen in its case management system (Athena, Connect, NICHE) that then generates the MG2 — and what the Digital Case File equivalent looks like, given the Home Office confirms DCF will absorb the MG forms.","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Disclosure handling. MG2 is headed 'Not Disclosable' and carries chequered banding, which the Home Office confirms means 'not disclosable to the defence'. A practitioner must confirm that the product excludes MG2 from any defence-facing bundle or export, and whether third-party contact details in section 5 need redacting before the form is served on anyone.","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Whether an MG2 is needed on an anticipated guilty plea. MoG says generally not, but one 'will need to be completed subsequently' if a not-guilty plea is entered — how a given CPS Area chases that in practice, and whether the product should prompt for it on plea change.","",""
