"Form","Official form name","Section","Field label","Type","Required?","Our confidence","What the field is for (help text)","Evidence we have","REVIEW — Is this box on the real form? (Y/N)","REVIEW — Correct label / type / required, if wrong","REVIEW — Comments"
"MG1","File Front Sheet (legacy — no longer part of the MG suite)","Case identifiers","Unique Reference Number (URN)","text","Yes","likely — NOT corroborated by our checker","The Unique Reference Number for the case, in the format force code / unit code / sequence / year, e.g. 01AB0123456/24. Every MG form in the suite carries this as a four-box header.","Four-box URN header is documented on the MG2 specimen (MoG 2011 Section 3) and the Home Office guidance requires a PTI URN on every case file — but this has NOT been verified on an MG1 specimen.","","",""
"MG1","File Front Sheet (legacy — no longer part of the MG suite)","Case identifiers","Defendant full name","text","Yes","likely — NOT corroborated by our checker","Full name and personal details of the defendant as charged. On a front sheet these identify the file rather than form part of the evidence.","Practitioner descriptions of the MG1 as the 'front sheet, summary for CPS' carrying the defendant's personal details (BlueLineHub; unverified search snippet). No specimen located.","","",""
"MG1","File Front Sheet (legacy — no longer part of the MG suite)","File details","Type of file","select","Yes","guess — NOT corroborated by our checker","Pre-2011 file categories: Full / Advice / Abbreviated. The modern equivalent is the National File Standard case-file type (charging referral, GAP, NGAP, Crown Court), which is no longer recorded on a form.","Unverified search snippet describing the MG1 ('the type of file (Full/Advice/Abbreviated)'); source page could not be retrieved.","","",""
"MG1","File Front Sheet (legacy — no longer part of the MG suite)","File details","Offence(s) charged","textarea","Yes","guess — NOT corroborated by our checker","The offence(s) for which the defendant was charged, as they appear on the charge sheet (MG4).","Unverified search snippet describing the MG1 ('the offence for which charged'); source page could not be retrieved.","","",""
"MG1","File Front Sheet (legacy — no longer part of the MG suite)","Case identifiers","CRO / PNC reference","text","No","guess — NOT corroborated by our checker","Criminal Records Office / PNC identifier for the defendant, used to tie the file to antecedents.","Unverified search snippet describing the MG1 ('CRO/ASU numbers'); source page could not be retrieved. 'CRO' and 'ASU' are both pre-2000s terminology.","","",""
"MG1","File Front Sheet (legacy — no longer part of the MG suite)","File details","Defence solicitor","textarea","No","guess — NOT corroborated by our checker","Name and firm of the defence solicitor on record, where known at the point of charge.","Unverified search snippet describing the MG1 ('defence solicitor details'); source page could not be retrieved.","","",""
"MG1","File Front Sheet (legacy — no longer part of the MG suite)","File details","Driver / vehicle details (where applicable)","textarea","No","guess — NOT corroborated by our checker","Driving licence and vehicle information, completed only for road traffic cases.","Unverified search snippet describing the MG1 ('driving information where applicable'); source page could not be retrieved.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Witness details","Name of witness","text","Yes","documented","Full name of the witness this assessment relates to. One MG2 per witness — where there is more than one vulnerable or intimidated witness, a separate MG2 must be completed for each in an anticipated not-guilty, contested or indictable case. This is NOT the defendant, so it must not auto-populate from case data.","MG2 specimen (MoG 2011 s.3) header box 'Name of witness:'; identical box in the circulating MG2.docx. Completion rule from MoG s.3 guidance notes.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Witness details","URN","text","Yes","documented","The Unique Reference Number for the case, e.g. 01AB0123456/24. The form prints it as four boxes: force code / unit code / unique number / year.","MG2 specimen header: 'URN' followed by four separate entry boxes; four FORMTEXT fields in the MG2.docx template.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Witness details","Age","number","No","documented","The witness's age. A witness under 18 is automatically eligible as a vulnerable witness under s.16(1)(a) YJCEA 1999, so this drives box (a) below.","MG2 specimen header box 'Age:' — a separate box from date of birth.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Witness details","Date of birth","date","Yes","documented","Date of birth of the witness. The form carries both age and date of birth as separate boxes.","MG2 specimen header box 'Date of Birth:'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","1. Identification of witness","Vulnerable — youth under 18 (automatically eligible)","checkbox","No","documented","Box (a). Automatic eligibility as a vulnerable witness under s.16(1)(a) YJCEA 1999. Tick every box in this section that applies — it is not an either/or choice.","MG2 specimen section 1, 'Vulnerable' column, box 'a) Youth under 18 *', with '[*automatically eligible]' printed on the section header.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","1. Identification of witness","Vulnerable — witness with a mental disorder","checkbox","No","documented","Box (b). s.16(2)(a)(i) YJCEA 1999 — a mental disorder within the meaning of the Mental Health Act 1983.","MG2 specimen section 1, box 'b) Witness with a mental disorder'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","1. Identification of witness","Vulnerable — witness with learning disabilities","checkbox","No","documented","Box (c). s.16(2)(a)(ii) YJCEA 1999 — significant impairment of intelligence and social functioning.","MG2 specimen section 1, box 'c) Witness with learning disabilities'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","1. Identification of witness","Vulnerable — witness with a physical disability or disorder","checkbox","No","documented","Box (d). s.16(2)(b) YJCEA 1999.","MG2 specimen section 1, box 'd) Witness with physical disability/ disorder'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","1. Identification of witness","Intimidated — witness in fear or distress about giving evidence","checkbox","No","documented","Box (e). s.17(1) YJCEA 1999 — the quality of the witness's evidence is likely to be diminished by fear or distress about testifying.","MG2 specimen section 1, 'Intimidated' column, box 'e) Witness in fear/distress about giving evidence'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","1. Identification of witness","Intimidated — complainant in a sexual case (automatically eligible)","checkbox","No","documented","Box (f). Automatic eligibility under s.17(4) YJCEA 1999. Note the 2010/11 form predates the extension of automatic eligibility to victims of modern slavery (s.17(4)), domestic abuse (s.17(4A)) and Schedule 1A violent offences (s.17(4B)) — where one of those applies and no box fits, say so in section 2.","Box documented on the MG2 specimen ('f) Complainant in sexual case *'). The statutory extensions are documented in CPS Special Measures legal guidance but have NO box on this version of the form.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","1. Identification of witness","Intimidated — weapons offence","checkbox","No","documented","Box (g). Witness to a gun or knife offence. Automatic eligibility is now governed by s.17(4B) and Schedule 1A YJCEA 1999, which is wider than this box.","MG2 specimen section 1, box 'g) Weapons offence'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","2. Eligibility for special measures","Evidence of disorder / impairment or witness fear or distress","textarea","Yes","documented","Explain briefly the nature of the witness's vulnerability. Factors to consider: circumstances of the offence, age of the witness, social and cultural background and ethnic origin, domestic and employment circumstances, religious beliefs or political opinions, and any behaviour towards the witness by the accused, their family or associates. Base this on both the witness's own account and your own observations.","MG2 specimen section 2 box 'Evidence of disorder/impairment or witness fear/distress:'; factor list printed on the form and repeated at MoG s.3 note 3.1.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","2. Eligibility for special measures","The effect on the evidence","textarea","Yes","documented","Show how special measures are likely to improve the quality of this witness's evidence. Seek expert advice if necessary.","MG2 specimen section 2 box 'The effect on the evidence (seek expert advice if necessary):'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","3. Special measures","Screening witness from defendant","checkbox","No","documented","Screens — s.23 YJCEA 1999. Tick each measure likely to maximise, so far as practicable, the quality of the witness's evidence. Explain to the witness first what special measures are and what each would involve for them.","MG2 specimen section 3, box 'Screening witness from defendant'; instruction text printed above the grid.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","3. Special measures","Evidence by live link","checkbox","No","documented","s.24 YJCEA 1999.","MG2 specimen section 3, box 'Evidence by live link'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","3. Special measures","Evidence in private","checkbox","No","documented","Exclusion of persons from the court — s.25 YJCEA 1999.","MG2 specimen section 3, box 'Evidence in private'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","3. Special measures","Removal of wigs and gowns","checkbox","No","documented","s.26 YJCEA 1999.","MG2 specimen section 3, box 'Removal of wigs & gowns'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","3. Special measures","Visually recorded interview as evidence-in-chief","checkbox","No","documented","s.27 YJCEA 1999 — the ABE interview stands as the witness's evidence-in-chief. The written record of that interview goes on an MG15, not here.","MG2 specimen section 3, box 'Visually recorded interview as evidence-in-chief'. MG15 relationship documented in the Home Office MG form table.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","3. Special measures","Intermediary","checkbox","No","documented","s.29 YJCEA 1999.","MG2 specimen section 3, box 'Intermediary'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","3. Special measures","Aids to communication","checkbox","No","documented","s.30 YJCEA 1999.","MG2 specimen section 3, box 'Aids to communication'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","3. Special measures","Pre-recorded cross-examination (s.28)","checkbox","No","likely — NOT corroborated by our checker","s.28 YJCEA 1999 — pre-trial recorded cross-examination in the Crown Court. Include only if the force's current MG2 or DCF template provides for it.","CPS Special Measures legal guidance lists s.28 among the available measures, but there is NO corresponding tick box on the 2010/11 MG2 specimen or in the circulating MG2.docx. Proposed as a gap, not read off a form.","","",""
