"Jira key","Type","Jira status","Summary","Our status","Evidence in the repo","Ticket UUID (for the API)"
"LER-996","Epic","To Do","Ali Zulqarnain","container","project epic carrying the assignee name; not an engineering ticket","275aec2b-bb28-4bc9-9993-8476ee666191"
"LER-997","Story","To Do","Confirm dependencies","not-started","","6149ad17-68b7-4474-9361-ab334e488688"
"LER-998","Story","To Do","Confirm scope","not-started","","fcb00d5e-4c19-439c-a85c-7962863db050"
"LER-999","Story","To Do","Confirm tech stack","not-started","","130c5b35-4839-4cc3-a594-a834555b5c85"
"LER-1000","Story","Done","Specify FormDefinition format","delivered","FormTemplate / FormFieldDefinition","ae9368e4-1fd8-407f-b9e9-d729e0597716"
"LER-1001","Story","To Do","Define shared field blocks","not-started","","8b2d48a6-8b82-4ea4-8783-8bb9de359ac3"
"LER-1002","Story","Done","Define field types","delivered","FieldType union in form-template.types.ts","06ab0631-60d8-4fdf-b493-4c6ceeee4391"
"LER-1003","Story","To Do","Define rule primitives","not-started","","554d13a0-11bb-4152-9a47-9f7573b26d4a"
"LER-1004","Story","To Do","Schema compiler - backend","not-started","","8b787272-653c-4e0d-9c58-14d3141ed2b6"
"LER-1005","Story","To Do","Schema compiler - frontend","not-started","","b3f96df3-cfe8-4c01-9755-7b5bb93eedf6"
"LER-1006","Story","Done","Renderer","delivered","DynamicForm renders any template; visibleFieldIds for the wizard","e6ae0767-6f1a-4f28-b9d1-dd5e9e773577"
"LER-1007","Story","To Do","Renderer - repeating sub-sections","blocked","NO repeating-group field type exists — blocks faithful MG12/MG6","438f836f-b021-46d8-a51d-9053da097548"
"LER-1008","Story","To Do","Layout binder","not-started","","ae6ad3a1-c21a-495a-9503-a86f342db186"
"LER-1009","Story","To Do","Core schema","partial","Prisma schema exists; JSONB is TEXT on SQLite","1f6ea1cb-4cc0-4b67-9f1a-94f6d9b5f79e"
"LER-1010","Story","To Do","JSONB payload column","partial","valuesJson is serialised TEXT (SQLite); Postgres would allow real JSONB","76acadd5-129a-4ec2-989d-9e605bf68a39"
"LER-1011","Story","To Do","Append-only constraint","not-started","","6e9cbfab-06a4-413c-a00b-ac1013906703"
"LER-1012","Story","To Do","Audit log write path","partial","writes work (FORM_INITIATED, DRAFT_SAVED, AUTO_POPULATED) — no read endpoint","ab87296e-50bf-4d28-85e5-d9a0115856de"
"LER-1013","Story","To Do","OAuth2 authentication","not-started","DemoAuthGuard is a stub resolving a hardcoded user","47762e89-e1a4-483c-a3bd-2b210c64fc70"
"LER-1014","Story","To Do","RBAC roles","not-started","DemoAuthGuard is a stub resolving a hardcoded user","3544060f-544c-4280-b4fc-4694b70ad17b"
"LER-1015","Story","To Do","API-boundary enforcement","not-started","","00fda2eb-0e3f-466f-aeed-3d60aed55ec1"
"LER-1016","Story","To Do","Pipeline setup","partial",".github/workflows/ci.yml builds + runs 95 checks","38351334-60a0-4533-9a48-629f4436a9f4"
"LER-1017","Story","To Do","Pixel-difference test harness","not-started","","e791fbae-518e-48a4-b618-1badbf5ea4ca"
"LER-1018","Story","To Do","Storage-key PII scan","not-started","","40313073-63c0-4006-ace3-e57d7c211b3e"
"LER-1019","Story","Done","Form list interface","delivered","e2e: ""picker offers all 11 MG forms""; GET /api/form-templates","7a8bb0b8-8495-4f0d-82f2-46c57cc51d16"
"LER-1020","Story","Done","Initiation modes","delivered","e2e: standalone + case-linked start; case detail ""Complete MG Form""","ca3e8d66-61b2-424b-ba80-68393ab14e56"
"LER-1021","Story","Done","Skip selection when case-initiated","delivered","e2e: case detail ""Complete MG Form"" starts a draft pre-linked to that case","84c3d2c0-cfe4-4a99-b7aa-250d98d4a7e7"
"LER-1022","Story","Done","Template load","delivered","e2e: ""picker offers all 11 MG forms""; GET /api/form-templates","295b67c9-1dfe-4759-b650-0d938d8e90a9"
"LER-1023","Story","Done","Required-field marking","delivered","e2e: ""required fields are marked and contextual help expands"" (Material required marker)","836d5fcf-9745-4021-99db-98bd8ae277c1"
"LER-1024","Story","Done","Contextual help icons","delivered","e2e: same check — help toggle reveals helpText","d7c6b90b-aabe-42e6-a2a3-6ab2c3bd4c2e"
"LER-1025","Story","Done","Progress indicator","delivered","e2e: ""header progress reports N of M required fields and advances as they are filled""","c2c5f2cc-8550-4791-abdd-35ab16706567"
"LER-1026","Story","Done","Draft save","delivered","e2e: ""explicit Save draft persists and confirms with a snackbar""","9c4921ce-eabd-46ec-9221-3abb94589fbd"
"LER-1027","Story","Done","Draft resume","delivered","e2e: ""draft appears in the work queue and resumes with its saved values""","89d2779e-44ae-499a-b6be-0abebf31fd18"
"LER-1028","Story","Done","Autosave","delivered","e2e: ""debounced autosave persists without an explicit save"" (1.5s)","20434952-afb7-490a-8e88-a00869b91e2f"
"LER-1029","Story","Done","Error: template load failure","delivered","e2e: ""template load failure on the dashboard offers Retry""","06f38761-1974-4b6d-96b2-5aadd816c4bf"
"LER-1030","Story","Done","Error: inaccessible case","delivered","e2e: ""a denied case link shows the explanatory banner on the form"" + API standalone+warning","6731ec49-9a95-478b-a667-d976a6da2f11"
"LER-1031","Story","To Do","MG1 - File Front Sheet","blocked","research: MG1 not in the current MG suite; 0/7 fields corroborated","d2648692-b445-4b5e-96f5-9a2297ddc65f"
